Nonsense	Correct
She swallowed a ___	table
He curled the ___	goat
She itched her ___	roof
He slipped her ___	spot
She saved the ___	bus
He lost a ___	cake
She pulled the ___	buck
He shouldered her ___	buttons
She dropped her ___	axe
He boxed his ___	thunder
She trimmed her ___	steam
He wore her ___	leg
She cramped the ___	air
He flew the ___	sunshine
She drew a ___	plum
He foot the ___	nerve
She took the ___	hay
He hit the ___	plunge
She dusted a ___	lemon
He wagged a ___	computer
